Postal Code,Commune Name,Longitude Commune,Latitude Commune,Province,Region
2300,Turnhout,4.948461,51.3233812,Antwerp,Flanders
2310,Rijkevorsel,4.760708,51.3495046,Antwerp,Flanders
2320,Hoogstraten,4.7440656414186,51.39574085,Antwerp,Flanders
2321,Meer,4.7372548575575,51.46092495,Antwerp,Flanders
2322,Minderhout,4.8070790487489,51.43155825,Antwerp,Flanders
2323,Wortel,4.8085930879726,51.3975366,Antwerp,Flanders
2328,Meerle,4.8051679,51.4743516,Antwerp,Flanders
2330,Merksplas,4.8627541,51.3580597,Antwerp,Flanders
2340,Beerse / Vlimmeren,4.8098750761565,51.30614695,Antwerp,Flanders
2350,Vosselaar,4.8878026,51.3129153,Antwerp,Flanders
2360,Oud-Turnhout,4.9817086,51.3178319,Antwerp,Flanders
2370,Arendonk,5.0864557,51.3202315,Antwerp,Flanders
2380,Ravels,5.0198122919518,51.3808625,Antwerp,Flanders
2381,Weelde,5.0182445420616,51.41206885,Antwerp,Flanders
2382,Poppel,5.0488069670452,51.45063155,Antwerp,Flanders
2387,Baarle-Hertog,4.9004051710883,51.412750431352,Antwerp,Flanders
2390,Malle / Oostmalle / Westmalle,4.706484707038499,51.30047965,Antwerp,Flanders
2400,Mol,5.1155267,51.1840421,Antwerp,Flanders
2430,Eindhout / Laakdal / Vorst,5.007802442517266,51.08699805,Antwerp,Flanders
2431,Varendonk / Veerle,4.9678894951424,51.069668300000004,Antwerp,Flanders
2440,Geel,4.9903187,51.1610826,Antwerp,Flanders
2450,Meerhout,5.0772388,51.1317433,Antwerp,Flanders
2460,Kasterlee / Lichtaart / Tielen,4.922698857900733,51.237989733333336,Antwerp,Flanders
2470,Retie,5.0843883,51.2675862,Antwerp,Flanders
2480,Dessel,5.113243,51.2395713,Antwerp,Flanders
2490,Balen,5.1937730761009,51.171804,Antwerp,Flanders
2491,Olmen,5.1648214462792,51.13368515,Antwerp,Flanders
2500,Koningshooikt / Lier,4.58651720554385,51.11200615,Antwerp,Flanders
2520,Broechem / Emblem / Oelegem / Ranst,4.590605365350225,51.187803275,Antwerp,Flanders
2530,Boechout,4.510406865149,51.1596941,Antwerp,Flanders
2531,Vremde,4.5226229,51.1753099,Antwerp,Flanders
2540,Hove,4.477387,51.1486117,Antwerp,Flanders
2547,Lint,4.4922187,51.1268305,Antwerp,Flanders
2550,Kontich / Waarloos,4.44931795,51.11982145,Antwerp,Flanders
2560,Bevel / Kessel / Nijlen,4.667528302955033,51.14738378333333,Antwerp,Flanders
2570,Duffel,4.5061988,51.0957176,Antwerp,Flanders
2580,Beerzel / Putte,4.647064020649349,51.060039825000004,Antwerp,Flanders
2590,Berlaar / Gestel,4.664335041724399,51.1153121,Antwerp,Flanders
2600,Berchem,4.4317026387884,51.1918493,Antwerp,Flanders
2610,Wilrijk,4.3876309610455,51.1638451,Antwerp,Flanders
2620,Hemiksem,4.3420555,51.1442105,Antwerp,Flanders
2627,Schelle,4.3361875,51.1245635,Antwerp,Flanders
2630,Aartselaar,4.3870241,51.133297,Antwerp,Flanders
2640,Mortsel,4.4593335,51.1741789,Antwerp,Flanders
2650,Edegem,4.4384284,51.1574786,Antwerp,Flanders
2660,Hoboken,4.3511502171395,51.1757824,Antwerp,Flanders
2800,Mechelen / Walem,4.464097999998,51.046913724999996,Antwerp,Flanders
2801,Heffen,4.4124762563322,51.0519355,Antwerp,Flanders
2811,Hombeek / Leest,4.4180984259159,51.023359975000005,Antwerp,Flanders
2812,Muizen,4.5182999731643,51.0083206,Antwerp,Flanders
2820,Bonheiden / Rijmenam,4.5610219389535995,51.013605600000005,Antwerp,Flanders
2830,Blaasveld / Heindonk / Tisselt / Willebroek,4.374020816100825,51.05505855,Antwerp,Flanders
2840,Reet / Rumst / Terhagen,4.409766486210033,51.087349233333335,Antwerp,Flanders
2845,Niel,4.3303396,51.1098649,Antwerp,Flanders
2850,Boom,4.3667216,51.0873789,Antwerp,Flanders
2860,Sint-Katelijne-Waver,4.5114278140147,51.06232435,Antwerp,Flanders
2861,Onze-Lieve-Vrouw-Waver,4.5799614,51.0624913,Antwerp,Flanders
2870,Breendonk / Liezele / Puurs / Ruisbroek,4.304659230545425,51.063084350000004,Antwerp,Flanders
2880,Bornem / Hingene / Mariekerke / Weert,4.2305078821517,51.090890225,Antwerp,Flanders
2890,Lippelo / Oppuurs / Sint-Amands,4.2338817215182,51.05123165,Antwerp,Flanders
2900,Schoten,4.4980446,51.2516344,Antwerp,Flanders
2910,Essen,4.4701309,51.4677957,Antwerp,Flanders
2920,Kalmthout,4.4763255,51.3832723,Antwerp,Flanders
2930,Brasschaat,4.489307,51.2930933,Antwerp,Flanders
2940,Hoevenen / Stabroek,4.387505808022,51.320902075,Antwerp,Flanders
2950,Kapellen,4.4312318305558,51.332759,Antwerp,Flanders
2960,Brecht / Sint-Job-In-'t-Goor / Sint-Lenaarts,4.617129692998733,51.32524776666667,Antwerp,Flanders
2970,'s Gravenwezel / Schilde,4.575559767994401,51.2597903,Antwerp,Flanders
2980,Halle / Zoersel,4.6794061172243,51.25725855,Antwerp,Flanders
2990,Loenhout / Wuustwezel,4.604003572520099,51.3923487,Antwerp,Flanders
3000,Leuven,4.6929903215189,50.8812533,Flemish Brabant,Flanders
3001,Heverlee,4.6931307510281,50.85172925,Flemish Brabant,Flanders
3010,Kessel Lo,4.7307614946269,50.88991545,Flemish Brabant,Flanders
3012,Wilsele,4.7136294,50.9095362,Flemish Brabant,Flanders
3018,Wijgmaal,4.7001214,50.926428,Flemish Brabant,Flanders
3020,Herent / Veltem-Beisem / Winksele,4.6462249985887,50.90750503333334,Flemish Brabant,Flanders
3040,Huldenberg / Loonbeek / Neerijse / Ottenburg / Sint-Agatha-Rode,4.61548063326702,50.789369390000005,Flemish Brabant,Flanders
3050,Oud-Heverlee,4.6678971,50.8217682,Flemish Brabant,Flanders
3051,Sint-Joris-Weert,4.6458289787229,50.8051035,Flemish Brabant,Flanders
3052,Blanden,4.7056796612254,50.8281673,Flemish Brabant,Flanders
3053,Haasrode,4.7283706944623,50.81785645,Flemish Brabant,Flanders
3054,Vaalbeek,4.6852713590102,50.82408165,Flemish Brabant,Flanders
3060,Bertem / Korbeek-Dijle,4.6311173368946505,50.858828512578,Flemish Brabant,Flanders
3061,Leefdaal,4.5905043649411,50.8419887,Flemish Brabant,Flanders
3070,Kortenberg,4.5364707039624,50.88326665,Flemish Brabant,Flanders
3071,Erps-Kwerps,4.5750864125531,50.9104969,Flemish Brabant,Flanders
3078,Everberg / Meerbeek,4.5759321063222,50.875477075,Flemish Brabant,Flanders
3080,Duisburg / Tervuren / Vossem,4.538725740100733,50.82290265,Flemish Brabant,Flanders
3090,Overijse,4.5385226,50.7729254,Flemish Brabant,Flanders
3110,Rotselaar,4.7143205960258,50.9543637,Flemish Brabant,Flanders
3111,Wezemaal,4.7683306885409,50.9482552,Flemish Brabant,Flanders
3118,Werchter,4.7026877230529,50.9707189,Flemish Brabant,Flanders
3120,Tremelo,4.6755134,50.9900457,Flemish Brabant,Flanders
3128,Baal,4.7505367662714,51.0075269,Flemish Brabant,Flanders
3130,Begijnendijk / Betekom,4.786735244424101,51.01012435,Flemish Brabant,Flanders
3140,Keerbergen,4.6265551,51.0049242,Flemish Brabant,Flanders
3150,Haacht / Tildonk / Wespelaar,4.643596011331801,50.95806703333333,Flemish Brabant,Flanders
3190,Boortmeerbeek,4.575800525,50.97828585,Flemish Brabant,Flanders
3191,Hever,4.5553278,50.9925865,Flemish Brabant,Flanders
3200,Aarschot / Gelrode,4.8144208720492,50.97561775,Flemish Brabant,Flanders
3201,Langdorp,4.8856989624279,51.0118664,Flemish Brabant,Flanders
3202,Rillaar,4.8970494266873,50.97591095,Flemish Brabant,Flanders
3210,Linden / Lubbeek,4.8078723456843,50.890511475,Flemish Brabant,Flanders
3211,Binkom,4.8908885858013,50.8721422,Flemish Brabant,Flanders
3212,Pellenberg,4.7894086649098,50.87211325,Flemish Brabant,Flanders
3220,Holsbeek / Kortrijk-Dutsel / Sint-Pieters-Rode,4.790124177579901,50.92034776666666,Flemish Brabant,Flanders
3221,Nieuwrode,4.8338045392342,50.9470265,Flemish Brabant,Flanders
3270,Scherpenheuvel / Scherpenheuvel-Zichem,4.9650826713253,50.9707446,Flemish Brabant,Flanders
3271,Averbode / Zichem,4.981021689461199,51.01820884999999,Flemish Brabant,Flanders
3272,Messelbroek / Testelt,4.9365692051312,51.004380725,Flemish Brabant,Flanders
3290,Deurne / Diest / Schaffen / Webbekom,5.072634327038999,51.0004436375,Flemish Brabant,Flanders
3293,Kaggevinne,5.0299404926122,50.9776976,Flemish Brabant,Flanders
3294,Molenstede,5.0247465287649,51.0071839,Flemish Brabant,Flanders
3300,Bost / Goetsenhoven / Hakendover / Kumtich / Oorbeek / Oplinter / Sint-Margriete-Houtem / Tienen / Vissenaken,4.944230164323655,50.809474494444444,Flemish Brabant,Flanders
3320,Hoegaarden / Meldert,4.85529931087705,50.788678974999996,Flemish Brabant,Flanders
3321,Outgaarden,4.9193571,50.7665968,Flemish Brabant,Flanders
3350,Drieslinter / Linter / Melkwezer / Neerhespen / Neerlinter / Orsmaal-Gussenhoven / Overhespen / Wommersom,5.04437481913385,50.8181176375,Flemish Brabant,Flanders
3360,Bierbeek / Korbeek-Lo / Lovenjoel / Opvelp,4.776395362521775,50.8369921625,Flemish Brabant,Flanders
3370,Boutersem / Kerkom / Neervelp / Roosbeek / Vertrijk / Willebringen,4.839895130972983,50.83365031666667,Flemish Brabant,Flanders
3380,Bunsbeek / Glabbeek,4.95570584642765,50.8617777,Flemish Brabant,Flanders
3381,Kapellen,4.9608776189751,50.88734525,Flemish Brabant,Flanders
3384,Attenrode,4.9167554140969,50.8694607,Flemish Brabant,Flanders
3390,Houwaart / Sint-Joris-Winge / Tielt / Tielt-Winge,4.884485227695725,50.9263040375,Flemish Brabant,Flanders
3391,Meensel-Kiezegem,4.9173431325348,50.8950541,Flemish Brabant,Flanders
3400,Eliksem / Ezemaal / Laar / Landen / Neerwinden / Overwinden / Rumsdorp / Wange,4.96382401776845,50.83155770625,Flemish Brabant,Flanders
3401,Waasmont / Walsbets / Walshoutem / Wezeren,5.086322332772725,50.728739425,Flemish Brabant,Flanders
3404,Attenhoven / Neerlanden,5.09002044774805,50.77373595,Flemish Brabant,Flanders
3440,Budingen / Dormaal / Halle-Booienhoven / Helen-Bos / Zoutleeuw,5.0997225516219995,50.832404409999995,Flemish Brabant,Flanders
